Date/Time,OAT,OCCU,Solar,Lux,IAT,C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,DAT,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 06/01  00:05:00,20.698375,0,0,0,21.80066213,179.1913232,420.1451587,12.80014582,99977.5,1.52E-02,420.1389477
 06/01  00:10:00,20.298375,0,0,0,21.75445883,182.8383022,420.1330624,12.80015223,99978.41849,1.52E-02,420.1273818
 06/01  00:15:00,19.898375,0,0,0,21.70119352,187.5547588,420.1219608,12.80016309,99979.33698,1.52E-02,420.1167669
 06/01  00:20:00,19.498375,0,0,0,21.64514728,192.6560418,420.1117733,12.80017611,99980.25548,1.52E-02,420.1070248
 06/01  00:25:00,19.098375,0,0,0,21.58823279,197.7483061,420.1024261,12.80018937,99981.17397,1.52E-02,420.098085
 06/01  00:30:00,18.698375,0,0,0,21.5306861,202.7522938,420.0938509,12.80020173,99982.09246,1.52E-02,420.0898824
 06/01  00:35:00,18.298375,0,0,0,21.47224409,207.7131398,420.0859849,12.80021283,99983.01095,1.52E-02,420.0823574
 06/01  00:40:00,17.898375,0,0,0,21.41275094,212.6731677,420.0787702,12.80022276,99983.92945,1.52E-02,420.0754547
 06/01  00:45:00,17.498375,0,0,0,21.35223119,217.641958,420.0721536,12.80023176,99984.84794,1.52E-02,420.0691236
 06/01  00:50:00,17.098375,0,0,0,21.29077656,222.6118997,420.0660862,12.80023999,99985.76643,1.52E-02,420.0633173
 06/01  00:55:00,16.698375,0,0,0,21.22846185,227.575232,420.0605229,12.80024756,99986.68492,1.52E-02,420.0579929
 06/01  01:00:00,16.298375,0,0,0,21.16532855,232.5295159,420.0554224,12.80025451,99987.60342,1.52E-02,420.0531109
 06/01  01:05:00,16.398375,0,0,0,21.11981979,236.1253343,420.0507509,12.80023595,99988.21574,1.52E-02,420.0486351
 06/01  01:10:00,16.498375,0,0,0,21.0933689,236.3264608,420.0464749,12.80023173,99988.82807,1.52E-02,420.0445357
 06/01  01:15:00,16.598375,0,0,0,21.07744661,234.4942008,420.0425614,12.80021898,99989.4404,1.52E-02,420.0407833
 06/01  01:20:00,16.698375,0,0,0,21.06464562,232.0963809,420.0389794,12.80020168,99990.05273,1.52E-02,420.0373491
 06/01  01:25:00,16.798375,0,0,0,21.03962218,224.3853945,420.0357004,12.80018383,99990.66506,1.52E-02,420.0342057
 06/01  01:30:00,16.898375,0,0,0,21.0126029,224.0476122,420.0326988,12.80016289,99991.27739,1.52E-02,420.0313284
 06/01  01:35:00,16.998375,0,0,0,20.99135267,223.3157659,420.0299507,12.80014844,99991.88971,1.52E-02,420.0286943
 06/01  01:40:00,17.098375,0,0,0,20.97613365,221.6850369,420.0274347,12.80013889,99992.50204,1.52E-02,420.0262828
 06/01  01:45:00,17.198375,0,0,0,20.9642167,219.586959,420.025131,12.80013097,99993.11437,1.52E-02,420.0240749
 06/01  01:50:00,17.298375,0,0,0,20.95355285,217.4322823,420.0230216,12.80012333,99993.7267,1.52E-02,420.0220533
 06/01  01:55:00,17.398375,0,0,0,20.94350774,215.3721772,420.02109,12.8001161,99994.33903,1.52E-02,420.0202023
 06/01  02:00:00,17.498375,0,0,0,20.93418453,213.39474,420.0193212,12.80010971,99994.95135,1.52E-02,420.0185072
 06/01  02:05:00,17.56504167,0,0,0,20.92455304,211.5426185,420.0177012,12.80010573,99995.35957,1.52E-02,420.016955
 06/01  02:10:00,17.63170833,0,0,0,20.91453047,209.9135079,420.0162174,12.80010179,99995.76779,1.52E-02,420.0155334
 06/01  02:15:00,17.698375,0,0,0,20.90460838,208.4317661,420.0148584,12.80009907,99996.17601,1.52E-02,420.0142314
 06/01  02:20:00,17.76504167,0,0,0,20.89521161,207.0091701,420.0136136,12.80009719,99996.58423,1.52E-02,420.0130388
 06/01  02:25:00,17.83170833,0,0,0,20.88649664,205.6029421,420.0124733,12.80009584,99996.99245,1.52E-02,420.0119464
 06/01  02:30:00,17.898375,0,0,0,20.878446,204.2062713,420.0114289,12.80009484,99997.40067,1.52E-02,420.0109458
 06/01  02:35:00,17.96504167,0,0,0,20.8709989,202.8243011,420.0104721,12.80009407,99997.80889,1.52E-02,420.0100292
 06/01  02:40:00,18.03170833,0,0,0,20.86411196,201.4607028,420.0095956,12.80009352,99998.21711,1.52E-02,420.0091896
 06/01  02:45:00,18.098375,0,0,0,20.85776281,200.1154575,420.0087927,12.80009316,99998.62532,1.52E-02,420.0084205
 06/01  02:50:00,18.16504167,0,0,0,20.85193665,198.7869045,420.0080572,12.80009298,99999.03354,1.52E-02,420.0077159
 06/01  02:55:00,18.23170833,0,0,0,20.84661752,197.473588,420.0073833,12.80009296,99999.44176,1.52E-02,420.0070704
 06/01  03:00:00,18.298375,0,0,0,20.84178715,196.1747108,420.006766,12.80009308,99999.84998,1.52E-02,420.0064791
 06/01  03:05:00,18.33170833,0,0,0,20.83613298,194.9405269,420.0062003,12.80009757,100000.1561,1.52E-02,420.0059374
 06/01  03:10:00,18.36504167,0,0,0,20.8295078,193.9441496,420.005682,12.80009925,100000.4623,1.52E-02,420.005441
 06/01  03:15:00,18.398375,0,0,0,20.82247418,193.0993795,420.0052071,12.80010193,100000.7685,1.52E-02,420.0049862
 06/01  03:20:00,18.43170833,0,0,0,20.81554156,192.3079644,420.004772,12.80010494,100001.0746,1.52E-02,420.0045694
 06/01  03:25:00,18.46504167,0,0,0,20.80891637,191.5215571,420.0043732,12.80010786,100001.3808,1.52E-02,420.0041876
 06/01  03:30:00,18.498375,0,0,0,20.80260218,190.7324698,420.0040078,12.80011052,100001.687,1.52E-02,420.0038376
 06/01  03:35:00,18.53170833,0,0,0,20.79654905,189.9470678,420.003673,12.80011288,100001.9931,1.52E-02,420.003517
 06/01  03:40:00,18.56504167,0,0,0,20.79889102,192.7397408,420.0033662,12.800115,100002.2993,1.52E-02,420.0032232
 06/01  03:45:00,18.598375,0,0,0,20.80318268,190.9516925,420.003085,12.80012052,100002.6055,1.52E-02,420.0029539
 06/01  03:50:00,18.63170833,0,0,0,20.80467157,189.3910031,420.0028274,12.800123,100002.9116,1.52E-02,420.0027072
 06/01  03:55:00,18.66504167,0,0,0,20.80320448,188.4005408,420.0025912,12.80012325,100003.2178,1.52E-02,420.0024811
