Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 06/01  00:05:00,20.698375,0,0,0,21.67854252,185.7614854,420.0041453,12.80018413,99977.5,1.56E-02,420.0041378
 06/01  00:10:00,20.298375,0,0,0,21.61907287,191.2701814,420.0036577,12.80019168,99978.39335,1.56E-02,420.0036516
 06/01  00:15:00,19.898375,0,0,0,21.55029145,198.3899795,420.0032269,12.80020525,99979.28669,1.56E-02,420.003222
 06/01  00:20:00,19.498375,0,0,0,21.47842682,205.9706364,420.0028464,12.80022214,99980.18004,1.56E-02,420.0028425
 06/01  00:25:00,19.098375,0,0,0,21.40597611,213.4821075,420.0025104,12.80023936,99981.07338,1.56E-02,420.0025073
 06/01  00:30:00,18.698375,0,0,0,21.33303523,220.8500684,420.0022137,12.80025499,99981.96673,1.56E-02,420.0022113
 06/01  00:35:00,18.298375,0,0,0,21.2591225,228.1608283,420.0019518,12.80026846,99982.86007,1.56E-02,420.00195
 06/01  00:40:00,17.898375,0,0,0,21.18400913,235.4773533,420.0017207,12.80028004,99983.75342,1.56E-02,420.0017193
 06/01  00:45:00,17.498375,0,0,0,21.10774698,242.8081636,420.0015167,12.80029018,99984.64676,1.56E-02,420.0015157
 06/01  00:50:00,17.098375,0,0,0,21.03046741,250.1384972,420.0013367,12.8002992,99985.54011,1.56E-02,420.001336
 06/01  00:55:00,16.698375,0,0,0,20.95226089,257.456656,420.0011779,12.80030729,99986.43345,1.56E-02,420.0011774
 06/01  01:00:00,16.298375,0,0,0,20.87316613,264.7601365,420.0010378,12.80031453,99987.3268,1.56E-02,420.0010376
 06/01  01:05:00,16.398375,0,0,0,20.81900409,269.5067995,420.0009143,12.80030266,99987.92236,1.56E-02,420.0009142
 06/01  01:10:00,16.498375,0,0,0,20.79104823,269.439961,420.0008056,12.80029599,99988.51792,1.56E-02,420.0008054
 06/01  01:15:00,16.598375,0,0,0,20.77684371,266.6016767,420.0007099,12.80027742,99989.11349,1.56E-02,420.0007097
 06/01  01:20:00,16.698375,0,0,0,20.76613672,263.0963501,420.0006256,12.80025243,99989.70905,1.56E-02,420.0006253
 06/01  01:25:00,16.798375,0,0,0,20.74378586,254.7015946,420.0005513,12.80022724,99990.30461,1.56E-02,420.0005511
 06/01  01:30:00,16.898375,0,0,0,20.71971577,253.3042563,420.0004859,12.80019999,99990.90018,1.56E-02,420.0004857
 06/01  01:35:00,16.998375,0,0,0,20.70138377,251.5366079,420.0004283,12.80018172,99991.49574,1.56E-02,420.000428
 06/01  01:40:00,17.098375,0,0,0,20.6889046,248.9175046,420.0003775,12.80017014,99992.0913,1.56E-02,420.0003773
 06/01  01:45:00,17.198375,0,0,0,20.67958902,245.8879623,420.0003328,12.80016106,99992.68687,1.56E-02,420.0003325
 06/01  01:50:00,17.298375,0,0,0,20.67151775,242.8451733,420.0002934,12.80015277,99993.28243,1.56E-02,420.0002931
 06/01  01:55:00,17.398375,0,0,0,20.66416301,239.9207898,420.0002586,12.80014534,99993.87799,1.56E-02,420.0002584
 06/01  02:00:00,17.498375,0,0,0,20.65766743,237.091222,420.000228,12.80013918,99994.47356,1.56E-02,420.0002278
 06/01  02:05:00,17.56504167,0,0,0,20.65049741,234.4717558,420.000201,12.80013532,99994.8706,1.56E-02,420.0002009
 06/01  02:10:00,17.63170833,0,0,0,20.64255007,232.1767559,420.0001772,12.80013232,99995.26764,1.56E-02,420.0001771
 06/01  02:15:00,17.698375,0,0,0,20.63455944,230.0890715,420.0001563,12.80013086,99995.66468,1.56E-02,420.0001561
 06/01  02:20:00,17.76504167,0,0,0,20.62713874,228.0800362,420.0001378,12.80013045,99996.06172,1.56E-02,420.0001377
 06/01  02:25:00,17.83170833,0,0,0,20.62050027,226.0907963,420.0001215,12.80013062,99996.45877,1.56E-02,420.0001214
 06/01  02:30:00,17.898375,0,0,0,20.61461077,224.1148003,420.0001072,12.80013106,99996.85581,1.56E-02,420.000107
